Accession	Title	Sample Type	Taxonomy	Channels	Platform	Series	Supplementary Types	Supplementary Links	SRA Accession	Contact	Release Date
GSM4050229	"Embryo_D7A4S12"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774562"	SRX6774562	"Tianqing Li"	"Nov 26, 2019"
GSM4050230	"Embryo_D7A4S13"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774563"	SRX6774563	"Tianqing Li"	"Nov 26, 2019"
GSM4050231	"Embryo_D7A4S14"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774564"	SRX6774564	"Tianqing Li"	"Nov 26, 2019"
GSM4050232	"Embryo_D7A4S15"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774565"	SRX6774565	"Tianqing Li"	"Nov 26, 2019"
GSM4050233	"Embryo_D7A4S1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774566"	SRX6774566	"Tianqing Li"	"Nov 26, 2019"
GSM4050234	"Embryo_D7A4S2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774575"	SRX6774575	"Tianqing Li"	"Nov 26, 2019"
GSM4050235	"Embryo_D7A4S7"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774576"	SRX6774576	"Tianqing Li"	"Nov 26, 2019"
GSM4050236	"Embryo_D7N1B1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774577"	SRX6774577	"Tianqing Li"	"Nov 26, 2019"
GSM4050237	"Embryo_D7N1S7"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774578"	SRX6774578	"Tianqing Li"	"Nov 26, 2019"
GSM4050238	"Embryo_D7N1S9"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774579"	SRX6774579	"Tianqing Li"	"Nov 26, 2019"
GSM4050239	"Embryo_D7N1B5"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774580"	SRX6774580	"Tianqing Li"	"Nov 26, 2019"
GSM4050240	"Embryo_D7N1B7"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774581"	SRX6774581	"Tianqing Li"	"Nov 26, 2019"
GSM4050241	"Embryo_D7N1B9"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774582"	SRX6774582	"Tianqing Li"	"Nov 26, 2019"
GSM4050242	"Embryo_D7N1S15"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774591"	SRX6774591	"Tianqing Li"	"Nov 26, 2019"
GSM4050243	"Embryo_D7N1S18"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774592"	SRX6774592	"Tianqing Li"	"Nov 26, 2019"
GSM4050244	"Embryo_D7N1S19"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774593"	SRX6774593	"Tianqing Li"	"Nov 26, 2019"
GSM4050245	"Embryo_D7N1S21"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774594"	SRX6774594	"Tianqing Li"	"Nov 26, 2019"
GSM4050246	"Embryo_D7N1S24"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774595"	SRX6774595	"Tianqing Li"	"Nov 26, 2019"
GSM4050247	"Embryo_D7N1S27"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774596"	SRX6774596	"Tianqing Li"	"Nov 26, 2019"
GSM4050248	"Embryo_D7N1S30"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774597"	SRX6774597	"Tianqing Li"	"Nov 26, 2019"
GSM4050249	"Embryo_D8_8B1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774598"	SRX6774598	"Tianqing Li"	"Nov 26, 2019"
GSM4050250	"Embryo_D8_8B2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774607"	SRX6774607	"Tianqing Li"	"Nov 26, 2019"
GSM4050251	"Embryo_D8_8B3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774608"	SRX6774608	"Tianqing Li"	"Nov 26, 2019"
GSM4050252	"Embryo_D8_8B4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774609"	SRX6774609	"Tianqing Li"	"Nov 26, 2019"
GSM4050253	"Embryo_D8_8S1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774610"	SRX6774610	"Tianqing Li"	"Nov 26, 2019"
GSM4050254	"Embryo_D8_8S2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774611"	SRX6774611	"Tianqing Li"	"Nov 26, 2019"
GSM4050255	"Embryo_D8_8S3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774612"	SRX6774612	"Tianqing Li"	"Nov 26, 2019"
GSM4050256	"Embryo_D8_8S4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774613"	SRX6774613	"Tianqing Li"	"Nov 26, 2019"
GSM4050257	"Embryo_D8_8S5"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774614"	SRX6774614	"Tianqing Li"	"Nov 26, 2019"
GSM4050258	"Embryo_D8_8S6"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774623"	SRX6774623	"Tianqing Li"	"Nov 26, 2019"
GSM4050259	"Embryo_D8_8S7"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774624"	SRX6774624	"Tianqing Li"	"Nov 26, 2019"
GSM4050260	"Embryo_D8_8S8"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774625"	SRX6774625	"Tianqing Li"	"Nov 26, 2019"
GSM4050261	"Embryo_D8A1B10"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774626"	SRX6774626	"Tianqing Li"	"Nov 26, 2019"
GSM4050262	"Embryo_D8A1B2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774627"	SRX6774627	"Tianqing Li"	"Nov 26, 2019"
GSM4050263	"Embryo_D8A1B3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774628"	SRX6774628	"Tianqing Li"	"Nov 26, 2019"
GSM4050264	"Embryo_D8A1B4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774629"	SRX6774629	"Tianqing Li"	"Nov 26, 2019"
GSM4050265	"Embryo_D8A1B6"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774630"	SRX6774630	"Tianqing Li"	"Nov 26, 2019"
GSM4050266	"Embryo_D8A1S11"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774639"	SRX6774639	"Tianqing Li"	"Nov 26, 2019"
GSM4050267	"Embryo_D8A1S1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774640"	SRX6774640	"Tianqing Li"	"Nov 26, 2019"
GSM4050268	"Embryo_D8A1S24"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774641"	SRX6774641	"Tianqing Li"	"Nov 26, 2019"
GSM4050269	"Embryo_D8A1S31"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774642"	SRX6774642	"Tianqing Li"	"Nov 26, 2019"
GSM4050270	"Embryo_D8A1S3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774643"	SRX6774643	"Tianqing Li"	"Nov 26, 2019"
GSM4050271	"Embryo_D8A1S7"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774644"	SRX6774644	"Tianqing Li"	"Nov 26, 2019"
GSM4050272	"Embryo_D8A1S8"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774645"	SRX6774645	"Tianqing Li"	"Nov 26, 2019"
GSM4050273	"Embryo_D8A2B1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774646"	SRX6774646	"Tianqing Li"	"Nov 26, 2019"
GSM4050274	"Embryo_D8A2B2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774655"	SRX6774655	"Tianqing Li"	"Nov 26, 2019"
GSM4050275	"Embryo_D8A2B5"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774656"	SRX6774656	"Tianqing Li"	"Nov 26, 2019"
GSM4050276	"Embryo_D8A2S10"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774657"	SRX6774657	"Tianqing Li"	"Nov 26, 2019"
GSM4050277	"Embryo_D8A2S12"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774658"	SRX6774658	"Tianqing Li"	"Nov 26, 2019"
GSM4050278	"Embryo_D8A2S15"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774659"	SRX6774659	"Tianqing Li"	"Nov 26, 2019"
GSM4050279	"Embryo_D8A2S1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774660"	SRX6774660	"Tianqing Li"	"Nov 26, 2019"
GSM4050280	"Embryo_D8A2S24"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774661"	SRX6774661	"Tianqing Li"	"Nov 26, 2019"
GSM4050281	"Embryo_D8A2S29"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774662"	SRX6774662	"Tianqing Li"	"Nov 26, 2019"
GSM4050282	"Embryo_D8A2S2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774671"	SRX6774671	"Tianqing Li"	"Nov 26, 2019"
GSM4050283	"Embryo_D8A2S3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774672"	SRX6774672	"Tianqing Li"	"Nov 26, 2019"
GSM4050284	"Embryo_D8A2S4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774673"	SRX6774673	"Tianqing Li"	"Nov 26, 2019"
GSM4050285	"Embryo_D8A3B10"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774674"	SRX6774674	"Tianqing Li"	"Nov 26, 2019"
GSM4050286	"Embryo_D8A3B11"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774675"	SRX6774675	"Tianqing Li"	"Nov 26, 2019"
GSM4050287	"Embryo_D8A3B1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774676"	SRX6774676	"Tianqing Li"	"Nov 26, 2019"
GSM4050288	"Embryo_D8A3B4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774677"	SRX6774677	"Tianqing Li"	"Nov 26, 2019"
GSM4050289	"Embryo_D8A3S12"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774678"	SRX6774678	"Tianqing Li"	"Nov 26, 2019"
GSM4050290	"Embryo_D8A3S13"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774687"	SRX6774687	"Tianqing Li"	"Nov 26, 2019"
GSM4050291	"Embryo_D8A3S1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774688"	SRX6774688	"Tianqing Li"	"Nov 26, 2019"
GSM4050292	"Embryo_D8A3S28"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774689"	SRX6774689	"Tianqing Li"	"Nov 26, 2019"
GSM4050293	"Embryo_D8A3S2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774690"	SRX6774690	"Tianqing Li"	"Nov 26, 2019"
GSM4050294	"Embryo_D8A3S5"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774691"	SRX6774691	"Tianqing Li"	"Nov 26, 2019"
GSM4050295	"Embryo_D8A3S7"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774692"	SRX6774692	"Tianqing Li"	"Nov 26, 2019"
GSM4050296	"Embryo_D8A3S8"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774693"	SRX6774693	"Tianqing Li"	"Nov 26, 2019"
GSM4050297	"Embryo_D8A5B7"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774694"	SRX6774694	"Tianqing Li"	"Nov 26, 2019"
GSM4050298	"Embryo_D8A5B8"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774703"	SRX6774703	"Tianqing Li"	"Nov 26, 2019"
GSM4050299	"Embryo_D8A5S14"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774704"	SRX6774704	"Tianqing Li"	"Nov 26, 2019"
GSM4050300	"Embryo_D8A5S1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774705"	SRX6774705	"Tianqing Li"	"Nov 26, 2019"
GSM4050301	"Embryo_D8A5S4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774706"	SRX6774706	"Tianqing Li"	"Nov 26, 2019"
GSM4050302	"Embryo_D8A6B1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774707"	SRX6774707	"Tianqing Li"	"Nov 26, 2019"
GSM4050303	"Embryo_D8A6B3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774708"	SRX6774708	"Tianqing Li"	"Nov 26, 2019"
GSM4050304	"Embryo_D8A6B6"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774709"	SRX6774709	"Tianqing Li"	"Nov 26, 2019"
GSM4050305	"Embryo_D8A6S15"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774710"	SRX6774710	"Tianqing Li"	"Nov 26, 2019"
GSM4050306	"Embryo_D8A6S5"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774719"	SRX6774719	"Tianqing Li"	"Nov 26, 2019"
GSM4050307	"Embryo_D8A6S7"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774720"	SRX6774720	"Tianqing Li"	"Nov 26, 2019"
GSM4050308	"Embryo_D9A1B1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774721"	SRX6774721	"Tianqing Li"	"Nov 26, 2019"
GSM4050309	"Embryo_D9A1B15"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774722"	SRX6774722	"Tianqing Li"	"Nov 26, 2019"
GSM4050310	"Embryo_D9A1B16"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774723"	SRX6774723	"Tianqing Li"	"Nov 26, 2019"
GSM4050311	"Embryo_D9A1B2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774724"	SRX6774724	"Tianqing Li"	"Nov 26, 2019"
GSM4050312	"Embryo_D9A1B3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774725"	SRX6774725	"Tianqing Li"	"Nov 26, 2019"
GSM4050313	"Embryo_D9A1B4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774726"	SRX6774726	"Tianqing Li"	"Nov 26, 2019"
GSM4050314	"Embryo_D9A1S1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774735"	SRX6774735	"Tianqing Li"	"Nov 26, 2019"
GSM4050315	"Embryo_D9A1S10"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774736"	SRX6774736	"Tianqing Li"	"Nov 26, 2019"
GSM4050316	"Embryo_D9A1S2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774737"	SRX6774737	"Tianqing Li"	"Nov 26, 2019"
GSM4050317	"Embryo_D9A1S23"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774738"	SRX6774738	"Tianqing Li"	"Nov 26, 2019"
GSM4050318	"Embryo_D9A1S26"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774739"	SRX6774739	"Tianqing Li"	"Nov 26, 2019"
GSM4050319	"Embryo_D9A1S28"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774740"	SRX6774740	"Tianqing Li"	"Nov 26, 2019"
GSM4050320	"Embryo_D9A1S3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774741"	SRX6774741	"Tianqing Li"	"Nov 26, 2019"
GSM4050321	"Embryo_D9A1S7"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774742"	SRX6774742	"Tianqing Li"	"Nov 26, 2019"
GSM4050322	"Embryo_D9A1S8"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774751"	SRX6774751	"Tianqing Li"	"Nov 26, 2019"
GSM4050323	"Embryo_D9A2B1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774752"	SRX6774752	"Tianqing Li"	"Nov 26, 2019"
GSM4050324	"Embryo_D9A2B2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774753"	SRX6774753	"Tianqing Li"	"Nov 26, 2019"
GSM4050325	"Embryo_D9A2B3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774754"	SRX6774754	"Tianqing Li"	"Nov 26, 2019"
GSM4050326	"Embryo_D9A2B5"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774755"	SRX6774755	"Tianqing Li"	"Nov 26, 2019"
GSM4050327	"Embryo_D9A2B8"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774756"	SRX6774756	"Tianqing Li"	"Nov 26, 2019"
GSM4050328	"Embryo_D9A2S1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774757"	SRX6774757	"Tianqing Li"	"Nov 26, 2019"
GSM4050329	"Embryo_D9A2S2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774758"	SRX6774758	"Tianqing Li"	"Nov 26, 2019"
GSM4050330	"Embryo_D9A2S3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774767"	SRX6774767	"Tianqing Li"	"Nov 26, 2019"
GSM4050331	"Embryo_D9A2S4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774768"	SRX6774768	"Tianqing Li"	"Nov 26, 2019"
GSM4050332	"Embryo_D9A2S6"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774769"	SRX6774769	"Tianqing Li"	"Nov 26, 2019"
GSM4050333	"Embryo_D9A3B1"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774770"	SRX6774770	"Tianqing Li"	"Nov 26, 2019"
GSM4050334	"Embryo_D9A3B2"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774771"	SRX6774771	"Tianqing Li"	"Nov 26, 2019"
GSM4050335	"Embryo_D9A3B3"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774772"	SRX6774772	"Tianqing Li"	"Nov 26, 2019"
GSM4050336	"Embryo_D9A3B4"	"SRA"	"Homo sapiens"	1	GPL20795	GSE136447	"SRA Run Selector"	"https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX6774773"	SRX6774773	"Tianqing Li"	"Nov 26, 2019"
