Run_accession	Sample.Name	Embryo.Name	Lineage	Sex	Day	Embryo
HRR052885	TE_Female_hv_Vol14_D8_IVC2_E1_B2_20	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052886	TE_Female_hv_Vol14_D8_IVC2_E1_B2_28	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052887	TE_Female_hv_Vol14_D8_IVC2_E1_B2_33	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052888	TE_Female_hv_Vol14_D8_IVC2_E1_B2_38	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052889	TE_Female_hv_Vol14_D8_IVC2_E1_B2_44	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052890	TE_Female_hv_Vol14_D8_IVC2_E1_B2_45	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052891	TE_Female_hv_Vol14_D8_IVC2_E1_B2_64	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052892	TE_Female_hv_Vol14_D8_IVC2_E1_B2_66	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052893	TE_Female_hv_Vol14_D8_IVC2_E1_B2_71	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052894	TE_Female_hv_Vol14_D8_IVC2_E1_B2_95	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052895	TE_Female_hv_Vol14_D8_IVC2_E1_B3_14	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052896	TE_Female_hv_Vol14_D8_IVC2_E1_B3_29	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052897	TE_Female_hv_Vol14_D8_IVC2_E1_B3_31	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052898	TE_Female_hv_Vol14_D8_IVC2_E1_B3_45	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052899	TE_Female_hv_Vol14_D8_IVC2_E1_B3_52	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052900	TE_Female_hv_Vol14_D8_IVC2_E1_B3_57	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052901	TE_Female_hv_Vol14_D8_IVC2_E1_B3_61	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052902	TE_Female_hv_Vol14_D8_IVC2_E1_B3_75	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052903	TE_Female_hv_Vol14_D8_IVC2_E1_B4_19	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052904	TE_Female_hv_Vol14_D8_IVC2_E1_B4_25	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052905	TE_Female_hv_Vol14_D8_IVC2_E1_B4_30	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052906	TE_Female_hv_Vol14_D8_IVC2_E1_B4_32	Female_hv_Vol14_D8_IVC2_E1	TE	Female	D08	E01
HRR052907	TE_Female_tri_Vol13_D10_IVC5_E3_B2_77	Female_tri_Vol13_D10_IVC5_E3	TE	Female	D10	E03
HRR052908	TE_Male_hv_Vol12_D10_IVC5_E6_B1_11	Male_hv_Vol12_D10_IVC5_E6	TE	Male	D10	E06
HRR052909	TE_Male_hv_Vol12_D10_IVC5_E6_B1_24	Male_hv_Vol12_D10_IVC5_E6	TE	Male	D10	E06
HRR052910	TE_Male_hv_Vol12_D10_IVC5_E6_B1_46	Male_hv_Vol12_D10_IVC5_E6	TE	Male	D10	E06
HRR052911	TE_Male_hv_Vol12_D10_IVC5_E6_B1_76	Male_hv_Vol12_D10_IVC5_E6	TE	Male	D10	E06
HRR052912	TE_Male_hv_Vol12_D10_IVC5_E6_B2_24	Male_hv_Vol12_D10_IVC5_E6	TE	Male	D10	E06
HRR052913	TE_Male_hv_Vol12_D10_IVC5_E6_B2_25	Male_hv_Vol12_D10_IVC5_E6	TE	Male	D10	E06
HRR052914	TE_Male_hv_Vol12_D8_IVC3_E4_B1_10	Male_hv_Vol12_D8_IVC3_E4	TE	Male	D08	E04
HRR052915	TE_Male_hv_Vol12_D8_IVC3_E4_B1_33	Male_hv_Vol12_D8_IVC3_E4	TE	Male	D08	E04
HRR052916	TE_Male_hv_Vol12_D8_IVC3_E4_B1_7	Male_hv_Vol12_D8_IVC3_E4	TE	Male	D08	E04
HRR052917	TE_Male_hv_Vol12_D8_IVC3_E4_B2_57	Male_hv_Vol12_D8_IVC3_E4	TE	Male	D08	E04
HRR052918	TE_Male_hv_Vol12_D8_IVC3_E4_B4_30	Male_hv_Vol12_D8_IVC3_E4	TE	Male	D08	E04
HRR052919	TE_Male_hv_Vol12_D8_IVC3_E4_B4_45	Male_hv_Vol12_D8_IVC3_E4	TE	Male	D08	E04
HRR052920	TE_Male_tri_Vol13_D10_IVC5_E2_B1_28	Male_tri_Vol13_D10_IVC5_E2	TE	Male	D10	E02
HRR052921	TE_Male_tri_Vol13_D10_IVC5_E2_B1_2	Male_tri_Vol13_D10_IVC5_E2	TE	Male	D10	E02
